Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus,Tahun,Indeks Pembangunan Manusia,Rata-rata Lama Sekolah
PAPUA BARAT,6.78,6.8,69.11,69.55,2020,65.09,7.6
PAPUA,3.42,4.28,75.01,72.16,2020,60.44,6.69
INDONESIA,4.94,7.07,69.21,67.77,2020,71.94,8.48
ACEH,6.3,6.3,65.14,63.78,2021,72.18,9.37
SUMATERA UTARA,6.01,6.33,69.39,69.1,2021,72,9.58
SUMATERA BARAT,6.67,6.52,68.41,67.72,2021,72.65,9.07
RIAU,4.96,4.42,65.81,65.03,2021,72.94,9.19
JAMBI,4.76,5.09,67.3,67.17,2021,71.63,8.6
SUMATERA SELATAN,5.17,4.98,69.95,68.77,2021,70.24,8.3
BENGKULU,3.72,3.65,71.74,69.75,2021,71.64,8.87
LAMPUNG,4.54,4.69,71.73,69.35,2021,69.9,8.08
KEP. BANGKA BELITUNG,5.04,5.03,67.99,65.88,2021,71.69,8.08
KEP. RIAU,10.12,9.91,66.39,68.27,2021,75.79,10.18
DKI JAKARTA,8.51,8.5,65.12,62.63,2021,81.11,11.17
JAWA BARAT,8.92,9.82,64.83,64.95,2021,72.45,8.61
JAWA TENGAH,5.96,5.95,69.38,69.58,2021,72.16,7.75
DI YOGYAKARTA,4.28,4.56,72.81,73.52,2021,80.22,9.64
JAWA TIMUR,5.17,5.74,69.75,70.0,2021,72.14,7.88
BANTEN,9.01,8.98,64.28,63.79,2021,72.72,8.93
BALI,5.42,5.37,73.71,73.54,2021,75.69,9.06
NUSA TENGGARA BARAT,3.97,3.01,71.32,70.57,2021,68.65,7.38
NUSA TENGGARA TIMUR,3.38,3.77,73.29,73.78,2021,65.28,7.69
KALIMANTAN BARAT,5.73,5.82,70.38,68.45,2021,67.9,7.45
KALIMANTAN TENGAH,4.25,4.53,69.44,68.67,2021,71.25,8.64
KALIMANTAN SELATAN,4.33,4.95,69.08,69.26,2021,71.28,8.34
KALIMANTAN TIMUR,6.81,6.83,67.46,65.49,2021,76.88,9.84
KALIMANTAN UTARA,4.67,4.58,66.17,66.24,2021,71.19,9.11
SULAWESI UTARA,7.28,7.06,63.28,62.15,2021,73.3,9.62
SULAWESI TENGAH,3.73,3.75,68.93,68.73,2021,69.79,8.89
SULAWESI SELATAN,5.79,5.72,65.36,64.73,2021,72.24,8.46
SULAWESI TENGGARA,4.22,3.92,70.76,70.09,2021,71.66,9.13
GORONTALO,3.41,3.01,67.37,65.94,2021,69,7.9
SULAWESI BARAT,3.28,3.13,71.71,70.27,2021,66.36,7.96
MALUKU,6.73,6.93,64.4,65.75,2021,69.71,10.03
MALUKU UTARA,5.06,4.71,64.31,64.7,2021,68.76,9.09
PAPUA BARAT,6.18,5.84,68.11,70.34,2021,65.26,7.69
PAPUA,3.77,3.33,73.47,78.29,2021,60.62,6.76
INDONESIA,6.26,6.49,68.08,67.8,2021,72.29,8.54
ACEH,5.97,6.17,64.15,63.5,2022,72.8,9.44
SUMATERA UTARA,5.47,6.16,70.45,69.53,2022,72.71,9.71
SUMATERA BARAT,6.17,6.28,68.0,69.3,2022,73.26,9.18
RIAU,4.4,4.37,65.98,63.86,2022,73.52,9.22
JAMBI,4.7,4.59,68.86,67.84,2022,72.14,8.68
SUMATERA SELATAN,4.74,4.63,69.33,69.31,2022,70.9,8.37
BENGKULU,3.39,3.59,71.49,69.81,2022,72.16,8.91
LAMPUNG,4.31,4.52,72.51,70.06,2022,70.45,8.18
KEP. BANGKA BELITUNG,4.18,4.77,70.16,67.38,2022,72.24,8.11
KEP. RIAU,8.02,8.23,66.48,68.94,2022,76.46,10.37
DKI JAKARTA,8.0,7.18,62.27,63.08,2022,81.65,11.31
JAWA BARAT,8.35,8.31,66.31,66.15,2022,73.12,8.78
JAWA TENGAH,5.75,5.57,72.04,70.84,2022,72.79,7.93
DI YOGYAKARTA,3.73,4.06,74.68,72.6,2022,80.64,9.75
JAWA TIMUR,4.81,5.49,70.99,71.23,2022,72.75,8.03
BANTEN,8.53,8.09,65.08,64.72,2022,73.32,9.13
BALI,4.84,4.8,77.14,76.86,2022,76.44,9.39
NUSA TENGGARA BARAT,3.92,2.89,70.25,70.93,2022,69.46,7.61
NUSA TENGGARA TIMUR,3.3,3.54,73.66,75.23,2022,65.9,7.7
KALIMANTAN BARAT,4.86,5.11,69.74,68.97,2022,68.63,7.59
KALIMANTAN TENGAH,4.2,4.26,66.94,67.23,2022,71.63,8.65
KALIMANTAN SELATAN,4.2,4.74,69.64,67.55,2022,71.84,8.46
KALIMANTAN TIMUR,6.77,5.71,66.22,64.73,2022,77.44,9.92
KALIMANTAN UTARA,4.62,4.33,64.52,67.62,2022,71.83,9.27
SULAWESI UTARA,6.51,6.61,61.97,63.08,2022,73.81,9.68
SULAWESI TENGAH,3.67,3.0,70.86,69.99,2022,70.28,8.89
SULAWESI SELATAN,5.75,4.51,65.85,66.18,2022,72.82,8.63
SULAWESI TENGGARA,3.86,3.36,66.31,68.82,2022,72.23,9.25
GORONTALO,3.25,2.58,67.78,68.91,2022,69.81,8.02
SULAWESI BARAT,3.11,2.34,68.9,73.0,2022,66.92,8.08
MALUKU,6.44,6.88,63.08,65.46,2022,70.22,10.19
